Sestry;Lekari;Cakanie_Sanitka_s;Cakanie_Peso_s;Status
1;1;1031795,15;NaN;NEVYHOVUJE
1;2;1029709,97;NaN;NEVYHOVUJE
1;3;1029216,26;NaN;NEVYHOVUJE
1;4;1029990,49;NaN;NEVYHOVUJE
1;5;1032264,89;NaN;NEVYHOVUJE
1;6;1029557,84;NaN;NEVYHOVUJE
1;7;1031391,70;NaN;NEVYHOVUJE
1;8;1032672,95;NaN;NEVYHOVUJE
1;9;1030808,27;NaN;NEVYHOVUJE
1;10;1031022,53;NaN;NEVYHOVUJE
1;11;1031620,32;NaN;NEVYHOVUJE
1;12;1030269,55;NaN;NEVYHOVUJE
2;1;178438,33;NaN;NEVYHOVUJE
2;2;763094,74;NaN;NEVYHOVUJE
2;3;765001,68;NaN;NEVYHOVUJE
2;4;764414,51;NaN;NEVYHOVUJE
2;5;764814,85;NaN;NEVYHOVUJE
2;6;766407,93;NaN;NEVYHOVUJE
2;7;765626,32;NaN;NEVYHOVUJE
2;8;767728,85;NaN;NEVYHOVUJE
2;9;763702,48;NaN;NEVYHOVUJE
2;10;763783,28;NaN;NEVYHOVUJE
2;11;763559,74;NaN;NEVYHOVUJE
2;12;763775,70;NaN;NEVYHOVUJE
3;1;308385,15;307833,22;NEVYHOVUJE
3;2;89506,16;NaN;NEVYHOVUJE
3;3;502333,06;NaN;NEVYHOVUJE
3;4;502902,20;NaN;NEVYHOVUJE
3;5;502355,48;NaN;NEVYHOVUJE
3;6;500226,37;NaN;NEVYHOVUJE
3;7;499381,87;NaN;NEVYHOVUJE
3;8;498008,81;NaN;NEVYHOVUJE
3;9;499565,89;NaN;NEVYHOVUJE
3;10;501639,80;NaN;NEVYHOVUJE
3;11;501429,09;NaN;NEVYHOVUJE
3;12;497646,69;NaN;NEVYHOVUJE
4;1;291448,82;293034,32;NEVYHOVUJE
4;2;187079,06;316059,30;NEVYHOVUJE
4;3;120716,78;NaN;NEVYHOVUJE
4;4;235339,78;NaN;NEVYHOVUJE
4;5;237277,21;NaN;NEVYHOVUJE
4;6;231521,13;NaN;NEVYHOVUJE
4;7;237866,84;NaN;NEVYHOVUJE
4;8;233419,40;NaN;NEVYHOVUJE
4;9;234331,04;NaN;NEVYHOVUJE
4;10;234435,80;NaN;NEVYHOVUJE
4;11;233169,49;NaN;NEVYHOVUJE
4;12;235329,46;NaN;NEVYHOVUJE
5;1;309539,76;312426,54;NEVYHOVUJE
