Hodina;Priemer
;
1;9,71
2;9,57
3;9,65
4;9,63
5;9,67
6;9,7
7;9,7
8;9,65
9;9,73
10;9,81
11;9,78
12;9,69
13;9,77
14;9,74
15;9,53
16;9,73
17;9,61
18;9,62
19;9,63
20;9,69
21;9,74
22;9,72
23;9,78
24;9,82
25;9,67
26;9,7
27;9,7
28;9,73
29;9,88
30;9,92
31;9,93
32;9,82
33;9,78
34;9,74
35;9,8
36;9,77
37;9,72
38;9,66
39;9,56
40;9,74
41;9,57
42;9,79
43;9,72
44;9,86
45;9,75
46;9,71
47;9,74
48;9,65
49;9,81
50;9,82
51;9,68
52;9,76
53;9,68
54;9,75
55;9,79
56;9,87
57;9,85
58;9,81
59;9,75
60;9,74
61;9,73
62;9,73
63;9,72
64;9,86
65;9,91
66;9,8
67;9,79
68;9,88
69;9,8
70;9,83
71;9,83
72;9,79
73;9,63
74;9,68
75;9,63
76;9,72
77;9,68
78;9,77
79;9,86
80;9,81
81;9,72
82;9,69
83;9,62
84;9,73
85;9,76
86;9,74
87;9,72
88;9,81
89;9,89
90;9,77
91;9,85
92;9,65
93;9,73
94;9,7
95;9,8
96;9,75
97;9,73
98;9,83
99;9,91
100;9,82
101;9,9
102;9,79
103;9,69
104;9,82
105;9,65
106;9,73
107;9,72
108;9,79
109;9,71
110;9,69
111;9,86
112;9,96
113;9,8
114;9,78
115;9,73
116;9,82
117;9,73
118;9,76
119;9,75
120;9,95
121;9,77
122;9,71
123;9,71
124;9,87
125;9,74
126;9,8
127;9,79
128;9,82
129;9,69
130;9,72
131;9,71
132;9,56
133;9,75
134;9,9
135;9,81
136;9,77
137;9,8
138;9,81
139;9,7
140;9,83
141;9,68
142;9,73
143;9,82
144;9,89
145;9,81
146;9,76
147;9,76
148;9,71
149;9,84
150;9,8
151;9,76
152;9,77
153;9,61
154;9,69
155;9,68
156;9,64
157;9,76
158;9,67
159;9,79
160;9,9
161;9,61
162;9,68
163;9,82
164;9,64
165;9,73
166;9,76
167;9,71
168;9,81
169;9,81
170;9,74
171;9,76
172;9,67
173;9,74
174;9,85
175;9,83
176;9,73
177;9,71
178;9,7
179;9,76
180;9,74
181;9,68
182;9,83
183;9,85
184;9,74
185;9,71
186;9,86
187;9,76
188;9,73
189;9,56
190;9,67
191;9,76
192;9,68
193;9,81
194;9,71
195;9,74
196;9,76
197;9,75
198;9,79
199;9,68
200;9,69
201;9,75
202;9,71
203;9,52
204;9,67
205;9,5
206;9,62
207;9,64
208;9,7
209;9,76
210;9,63
211;9,65
212;9,59
213;9,66
214;9,56
215;9,68
216;9,7
217;9,61
218;9,72
219;9,73
220;9,65
221;9,86
222;9,69
223;9,81
224;9,72
225;9,87
226;10
227;9,85
228;9,82
229;9,82
230;9,82
231;9,69
232;9,82
233;9,8
234;9,73
235;9,79
236;9,81
237;9,82
238;9,92
239;9,86
240;9,89
241;9,75
242;9,68
243;9,71
244;9,57
245;9,74
246;9,82
247;9,8
248;9,87
249;9,84
250;9,93
251;9,83
252;9,81
253;9,85
254;9,79
255;9,73
256;9,75
257;9,76
258;9,79
259;9,81
260;9,77
261;9,84
262;9,94
263;9,84
264;9,82
265;9,73
266;9,68
267;9,72
268;9,65
269;9,57
270;9,75
271;9,71
272;9,7
273;9,74
274;9,98
275;9,87
276;9,98
277;9,89
278;9,86
279;9,65
280;9,75
281;9,69
282;9,76
283;9,75
284;9,75
285;9,8
286;9,89
287;9,67
288;9,77
289;9,83
290;9,74
291;9,77
292;9,68
293;9,72
294;9,47
295;9,51
296;9,67
297;9,79
298;9,78
299;9,72
300;9,81
301;9,69
302;9,67
303;9,76
304;9,85
305;9,66
306;9,68
307;9,63
308;9,66
309;9,65
310;9,77
311;9,71
312;9,78
313;9,68
314;9,68
315;9,69
316;9,85
317;9,76
318;9,81
319;9,69
320;9,69
321;9,6
322;9,64
323;9,7
324;9,63
325;9,69
326;9,73
327;9,71
328;9,62
329;9,66
330;9,68
331;9,71
332;9,77
333;9,77
334;9,8
335;9,88
336;9,84
337;9,62
338;9,78
339;9,84
340;9,9
341;9,9
342;9,87
343;9,88
344;9,72
345;9,83
346;9,76
347;9,86
348;9,86
349;9,82
350;9,84
351;9,71
352;9,75
353;9,64
